dates,precip,globrad,windspeed,tmax,tmin,tmean,vappres
2024-01-01,0,1.4939424000000001,0.346625,2.809255,-0.81419,1.0657681388888889,0.6356353626967489
2024-01-02,7.972,2.9453658,0.21564583333333334,6.212215,-0.69089,2.7161305694444446,0.6194739835550508
2024-01-03,5.632,1.1074356,0.44377083333333334,8.957675,-0.001635,4.580843638888889,0.7479850958954297
2024-01-04,1.664,2.901639,0.3412777777777778,7.62881,2.730055,5.117527333333333,0.7540190928094056
2024-01-05,7.266,1.270929,0.2457638888888889,5.590605,0.88452,2.9190446666666667,0.6781731101122429
2024-01-06,0.376,2.6571906000000003,0.2905902777777778,4.908705,1.171115,3.0155679097222223,0.6820561648916694
2024-01-07,0,2.9509518000000003,0.3697986111111111,4.7346,0.658275,2.1796846666666667,0.6117142808954714
2024-01-08,0.005,2.5635174000000003,0.27129166666666665,2.060405,-1.2663,0.24421943055555556,0.522385659948006
2024-01-09,0,2.7587070000000002,0.19065277777777778,2.32684,-1.69629,-0.3894390625,0.49903471490702184
2024-01-10,0,2.7876942,0.3588263888888889,4.0149,-2.56953,0.44380068055555555,0.5447599623559911
2024-01-11,0,0.726135,0.4208125,1.920435,-2.24341,-0.703595,0.49350284114609066
2024-01-12,0,1.0353414,0.34897222222222224,-1.11451,-4.87162,-2.4496115694444445,0.46634220186187714
2024-01-13,0,0.5453958,0.5587847222222222,0.479115,-5.49637,-3.2788692638888888,0.38507433543541786
2024-01-14,0.018,2.6455836,0.3123472222222222,2.36064,-5.566795,-1.3724789930555557,0.37946408440579477
2024-01-15,1.06,1.7524146,0.33181944444444444,4.02796,-1.19676,1.3190395416666667,0.5862489843401609
2024-01-16,0,2.7947268000000003,0.3706111111111111,2.71812,-3.422655,-0.32009625694444443,0.46795749820531907
2024-01-17,20.346,2.7278322,0.29893055555555553,6.22281,0.918315,3.5119075347222224,0.7351603287138465
2024-01-18,16.32,1.9723602000000002,0.3467222222222222,6.076305,2.21285,4.595371916666667,0.8331252229513936
2024-01-19,0,1.5032982000000001,0.6352916666666667,2.07951,-4.139795,-0.31986977083333334,0.47296534200117657
2024-01-20,0,0.7519392,0.40902777777777777,-1.48334,-6.92311,-4.116135701388889,0.3113919409553819
2024-01-21,0,3.36762,0.4124305555555556,2.093,-4.995345,-1.537314548611111,0.3597923786603381
2024-01-22,7.603,3.5340444000000004,0.3562638888888889,7.24434,-2.132255,2.1818004305555556,0.5225020924569571
2024-01-23,0.9550000000000001,2.5297326,0.4139583333333333,7.5921,3.106435,5.111637611111111,0.7458290759418598
2024-01-24,0.006,4.07667,0.30822222222222223,11.6126,2.93223,7.623706534722222,0.8908268490580714
2024-01-25,0,0.9343859999999999,0.4913125,13.38624,4.77623,9.473102256944445,0.8881827085779798
2024-01-26,2.22,2.7491202,0.3943333333333333,9.42756,2.06789,6.334154527777778,0.8237886490676957
2024-01-27,0,0.8471706000000001,0.5024583333333333,6.988525,1.959755,5.008123104166667,0.726269389600713
2024-01-28,0,0.9905130000000001,0.5665277777777777,8.4164,0.153555,3.9195664722222223,0.44881882446606025
2024-01-29,0,3.1981038,0.49698611111111113,9.43234,2.22961,5.181623375,0.5200564273218276
2024-01-30,0,3.3936078000000003,0.4536736111111111,8.376925,1.667755,4.460595319444445,0.5883411556687662
2024-01-31,0,3.4562724,0.4434444444444444,8.864294,-0.068965,4.131419798611111,0.5812823325891373
2024-02-01,0,3.093468,0.40875,7.217825,-0.277495,3.3977197847222222,0.6277475191658847
2024-02-02,0,3.0821556000000006,0.325,7.69074,1.697265,4.473615020833333,0.6944468317426974
2024-02-03,0,2.386242,0.5765,10.84034,0.81332,4.5988926875,0.6322450583567835
2024-02-04,0,2.8087374,0.6088333333333333,11.4452,0.639765,4.624992354166666,0.6323797407922626
2024-02-05,0,3.3701423999999998,0.5608611111111111,12.92495,1.53019,5.286250757142857,0.6032691969245952
2024-02-06,0,4.1512932000000005,0.5529097222222222,11.03808,1.44081,5.1503704824561405,0.5505721509711197
2024-02-07,0,3.4851870000000003,0.3829402985074627,8.483954,3.633795,5.502415016129032,0.6942250921772835
2024-02-08,0,5.823254400000001,0.2673623188405797,12.26107,3.054426,7.646555076388889,0.8151070289182553
2024-02-09,0,3.1658226,0.39021951219512196,12.49542,6.77194,9.700423729166667,0.7749618512766965
2024-02-10,0,6.222787800000001,1,14.56152,7.513399,11.592352555555555,0.6672903843873244
2024-02-11,0,5.9035458,0.6394444444444445,10.73843,4.4771,6.8426346875,0.673439980605399
2024-02-12,0,6.2507244,0.47095555555555557,9.853584,0.70406,5.386053888888889,0.6410739107531831
2024-02-13,0,6.533087399999999,0.5249375,11.53229,1.124775,5.463542069444444,0.5673710808138687
2024-02-14,0,5.5107096,0.3316527777777778,11.91402,0.98081,6.216402270833333,0.5160052207740865
2024-02-15,0,6.3329868,0.40568055555555554,14.96777,2.92415,8.653317020833333,0.6372175553965496
2024-02-16,0,6.6696425999999995,0.46158333333333335,14.8278,5.01343,9.182246215277777,0.7255127236508399
2024-02-17,0,7.640008200000001,0.5287083333333333,15.41956,4.60568,8.7723769375,0.8345263126150259
2024-02-18,0.005,7.2241290000000005,0.3439583333333333,13.74489,3.214725,8.462217277777778,0.782039095608665
2024-02-19,2.413,8.0963676,0.5999513888888889,14.53092,5.6136,9.680366027777778,0.7926931959106118
2024-02-20,1.09,9.6980886,0.3921736111111111,12.12266,3.236125,6.599623138888889,0.7484439204870126
2024-02-21,0,8.569854000000001,0.3664861111111111,12.95001,0.69806,6.852048888888889,0.6095355045720023
2024-02-22,25.895,2.1036648000000002,0.2927430555555556,10.28472,3.70084,6.244423354166667,0.8204333874335913
2024-02-23,0.007,12.463265400000001,0.4174305555555556,10.16292,0.95631,4.517341895833333,0.6079678972097309
2024-02-24,0,11.928231000000002,0.4953958333333333,10.71297,-0.146025,4.089529409722222,0.49334719279495576
2024-02-25,0,12.1763742,0.4796736111111111,11.21617,-1.86034,4.7760317430555554,0.4553765833813809
2024-02-26,0,6.672419400000001,0.5047083333333333,11.92644,4.831305,8.125023277777778,0.5094535711811097
2024-02-27,0.693,5.563117200000001,0.38227083333333334,10.87926,3.89777,6.743799965277778,0.7455408803796951
2024-02-28,0.47700000000000004,7.3493952,0.30917361111111114,11.66985,5.199535,7.493740236111111,0.8385682025744524
2024-02-29,0,12.380931,0.45025,17.40417,2.44971,8.013517534722222,0.7503687417477191
2024-03-01,6.272,3.3466662000000005,0.2747777777777778,6.70634,4.313945,5.4167082847222225,0.8411577915283156
2024-03-02,0,10.7709822,0.5919722222222222,13.80105,2.03462,7.7271352916666665,0.7322834015987217
2024-03-03,0,10.891166400000001,0.9131319444444445,12.15944,6.148004,9.266058979166667,0.6918770775030239
2024-03-04,1.094,7.5261486,0.34000694444444446,13.23908,2.764445,6.335747916666667,0.7681960703123767
2024-03-05,0.78,8.091141,0.5909583333333334,11.15436,3.18988,5.595496597222223,0.7319885332134178
2024-03-06,0,9.473112,0.6828819444444444,9.759434,0.6911,4.643378736111111,0.5926771784244141
2024-03-07,0,15.3379866,0.49654166666666666,12.75659,-1.40253,4.545405576388889,0.5232689756644027
2024-03-08,0,12.7468398,0.6573333333333333,12.93533,-0.22813,6.867859416666667,0.4958048194999386
2024-03-09,0,7.845091800000001,0.81475,12.676,8.251255,10.244971131944444,0.5003492407861231
