station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SRE;21.09.1923 00:00;5.5;;
SRE;22.09.1923 00:00;0;;
SRE;23.09.1923 00:00;9;;
SRE;24.09.1923 00:00;0;;
SRE;25.09.1923 00:00;0;;
SRE;26.09.1923 00:00;0;;
SRE;27.09.1923 00:00;0;;
SRE;28.09.1923 00:00;0;;
SRE;29.09.1923 00:00;0;;
SRE;30.09.1923 00:00;0;;
SRE;01.10.1923 00:00;0;;
SRE;02.10.1923 00:00;0.5;;
SRE;03.10.1923 00:00;7;;
SRE;04.10.1923 00:00;1;;
SRE;05.10.1923 00:00;7;;
SRE;06.10.1923 00:00;0;;
SRE;07.10.1923 00:00;0;;
SRE;08.10.1923 00:00;16.4;;
SRE;09.10.1923 00:00;14;;
SRE;10.10.1923 00:00;0;;
SRE;11.10.1923 00:00;0;;
SRE;12.10.1923 00:00;3.2;;
SRE;13.10.1923 00:00;3;;
SRE;14.10.1923 00:00;0;;
SRE;15.10.1923 00:00;0;;
SRE;16.10.1923 00:00;0;;
SRE;17.10.1923 00:00;0;;
SRE;18.10.1923 00:00;5.5;;
SRE;19.10.1923 00:00;0;;
SRE;20.10.1923 00:00;0;;
SRE;21.10.1923 00:00;1;;
SRE;22.10.1923 00:00;26;;
SRE;23.10.1923 00:00;0;;
SRE;24.10.1923 00:00;7;;
SRE;25.10.1923 00:00;0;;
SRE;26.10.1923 00:00;1.4;;
SRE;27.10.1923 00:00;0;;
SRE;28.10.1923 00:00;0;;
SRE;29.10.1923 00:00;0;;
SRE;30.10.1923 00:00;0;;
SRE;31.10.1923 00:00;0;;
SRE;01.11.1923 00:00;0;;
SRE;02.11.1923 00:00;1;;
SRE;03.11.1923 00:00;0;;
SRE;04.11.1923 00:00;0;;
SRE;05.11.1923 00:00;0;;
SRE;06.11.1923 00:00;5.7;;
SRE;07.11.1923 00:00;4;;
SRE;08.11.1923 00:00;0;;
SRE;09.11.1923 00:00;0;;
SRE;10.11.1923 00:00;0;;
SRE;11.11.1923 00:00;0;;
SRE;12.11.1923 00:00;0;;
SRE;13.11.1923 00:00;0;;
SRE;14.11.1923 00:00;3;;
SRE;15.11.1923 00:00;10.3;;
SRE;16.11.1923 00:00;4.6;;
SRE;17.11.1923 00:00;3;;
SRE;18.11.1923 00:00;5.7;;
SRE;19.11.1923 00:00;0;;
SRE;20.11.1923 00:00;0;;
SRE;21.11.1923 00:00;0;;
SRE;22.11.1923 00:00;0;;
SRE;23.11.1923 00:00;1.1;;
SRE;24.11.1923 00:00;1.2;;
SRE;25.11.1923 00:00;2.1;;
SRE;26.11.1923 00:00;8.4;;
SRE;27.11.1923 00:00;0;;
SRE;28.11.1923 00:00;5;;
SRE;29.11.1923 00:00;6.2;;
SRE;30.11.1923 00:00;0;;
SRE;01.12.1923 00:00;0;;
SRE;02.12.1923 00:00;0;;
SRE;03.12.1923 00:00;1.2;;
SRE;04.12.1923 00:00;5.6;;
SRE;05.12.1923 00:00;2;;
SRE;06.12.1923 00:00;0;;
SRE;07.12.1923 00:00;0;;
SRE;08.12.1923 00:00;0;;
SRE;09.12.1923 00:00;0;;
SRE;10.12.1923 00:00;0;;
SRE;11.12.1923 00:00;0;;
SRE;12.12.1923 00:00;0;;
SRE;13.12.1923 00:00;0;;
SRE;14.12.1923 00:00;0;;
SRE;15.12.1923 00:00;0;;
SRE;16.12.1923 00:00;0;;
SRE;17.12.1923 00:00;0;;
SRE;18.12.1923 00:00;0;;
SRE;19.12.1923 00:00;1.8;;
SRE;20.12.1923 00:00;0;;
SRE;21.12.1923 00:00;5;;
SRE;22.12.1923 00:00;33;;
SRE;23.12.1923 00:00;20.6;;
SRE;24.12.1923 00:00;27;;
SRE;25.12.1923 00:00;2;;
SRE;26.12.1923 00:00;28;;
SRE;27.12.1923 00:00;23;;
SRE;28.12.1923 00:00;29.4;;
SRE;29.12.1923 00:00;0;;
SRE;30.12.1923 00:00;19;;
SRE;31.12.1923 00:00;0;;
SRE;01.01.1924 00:00;7;;
SRE;02.01.1924 00:00;0;;
SRE;03.01.1924 00:00;2.7;;
SRE;04.01.1924 00:00;0;;
SRE;05.01.1924 00:00;0;;
SRE;06.01.1924 00:00;0;;
SRE;07.01.1924 00:00;0;;
SRE;08.01.1924 00:00;0;;
SRE;09.01.1924 00:00;0;;
SRE;10.01.1924 00:00;0;;
SRE;11.01.1924 00:00;2.6;;
SRE;12.01.1924 00:00;0;;
SRE;13.01.1924 00:00;0;;
SRE;14.01.1924 00:00;0;;
SRE;15.01.1924 00:00;0;;
SRE;16.01.1924 00:00;0;;
SRE;17.01.1924 00:00;0;;
SRE;18.01.1924 00:00;0;;
SRE;19.01.1924 00:00;2;;
SRE;20.01.1924 00:00;0;;
SRE;21.01.1924 00:00;0;;
SRE;22.01.1924 00:00;0.4;;
SRE;23.01.1924 00:00;0;;
SRE;24.01.1924 00:00;0;;
SRE;25.01.1924 00:00;0;;
SRE;26.01.1924 00:00;0;;
SRE;27.01.1924 00:00;0;;
SRE;28.01.1924 00:00;0;;
SRE;29.01.1924 00:00;0;;
SRE;30.01.1924 00:00;0;;
SRE;31.01.1924 00:00;0;;
SRE;01.02.1924 00:00;0;;
SRE;02.02.1924 00:00;0;;
SRE;03.02.1924 00:00;0;;
SRE;04.02.1924 00:00;0;;
SRE;05.02.1924 00:00;0;;
SRE;06.02.1924 00:00;9.1;;
SRE;07.02.1924 00:00;0;;
SRE;08.02.1924 00:00;0;;
SRE;09.02.1924 00:00;3.6;;
SRE;10.02.1924 00:00;0;;
SRE;11.02.1924 00:00;0;;
SRE;12.02.1924 00:00;0;;
SRE;13.02.1924 00:00;0.8;;
SRE;14.02.1924 00:00;0;;
SRE;15.02.1924 00:00;0;;
SRE;16.02.1924 00:00;0;;
SRE;17.02.1924 00:00;0;;
SRE;18.02.1924 00:00;0;;
SRE;19.02.1924 00:00;0;;
SRE;20.02.1924 00:00;0;;
SRE;21.02.1924 00:00;0;;
SRE;22.02.1924 00:00;0;;
SRE;23.02.1924 00:00;0;;
SRE;24.02.1924 00:00;0;;
SRE;25.02.1924 00:00;0.5;;
SRE;26.02.1924 00:00;0;;
SRE;27.02.1924 00:00;0;;
SRE;28.02.1924 00:00;0;;
SRE;29.02.1924 00:00;0;;
SRE;01.03.1924 00:00;0;;
SRE;02.03.1924 00:00;0;;
SRE;03.03.1924 00:00;0;;
SRE;04.03.1924 00:00;0;;
SRE;05.03.1924 00:00;0;;
SRE;06.03.1924 00:00;0;;
SRE;07.03.1924 00:00;0;;
SRE;08.03.1924 00:00;0;;
SRE;09.03.1924 00:00;0;;
SRE;10.03.1924 00:00;0;;
SRE;11.03.1924 00:00;0;;
SRE;12.03.1924 00:00;0;;
SRE;13.03.1924 00:00;0;;
SRE;14.03.1924 00:00;0;;
SRE;15.03.1924 00:00;0;;
SRE;16.03.1924 00:00;0;;
SRE;17.03.1924 00:00;0;;
SRE;18.03.1924 00:00;0;;
SRE;19.03.1924 00:00;0;;
SRE;20.03.1924 00:00;0;;
SRE;21.03.1924 00:00;2.9;;
SRE;22.03.1924 00:00;0;;
SRE;23.03.1924 00:00;4.7;;
SRE;24.03.1924 00:00;0;;
SRE;25.03.1924 00:00;3.7;;
SRE;26.03.1924 00:00;1.6;;
SRE;27.03.1924 00:00;0;;
SRE;28.03.1924 00:00;0;;
SRE;29.03.1924 00:00;0;;
SRE;30.03.1924 00:00;0;;
SRE;31.03.1924 00:00;3;;
SRE;01.04.1924 00:00;0.6;;
SRE;02.04.1924 00:00;0;;
SRE;03.04.1924 00:00;0;;
SRE;04.04.1924 00:00;0;;
SRE;05.04.1924 00:00;1;;
SRE;06.04.1924 00:00;0.9;;
SRE;07.04.1924 00:00;0;;
SRE;08.04.1924 00:00;0.7;;
SRE;09.04.1924 00:00;0;;
SRE;10.04.1924 00:00;3.5;;
SRE;11.04.1924 00:00;1;;
SRE;12.04.1924 00:00;2;;
SRE;13.04.1924 00:00;0;;
SRE;14.04.1924 00:00;0;;
SRE;15.04.1924 00:00;0.8;;
SRE;16.04.1924 00:00;2;;
SRE;17.04.1924 00:00;0;;
SRE;18.04.1924 00:00;0;;
SRE;19.04.1924 00:00;0;;
SRE;20.04.1924 00:00;0;;
SRE;21.04.1924 00:00;0;;
SRE;22.04.1924 00:00;1.2;;
SRE;23.04.1924 00:00;1.3;;
SRE;24.04.1924 00:00;8;;
SRE;25.04.1924 00:00;0;;
SRE;26.04.1924 00:00;2;;
SRE;27.04.1924 00:00;0;;
SRE;28.04.1924 00:00;8;;
SRE;29.04.1924 00:00;25;;
SRE;30.04.1924 00:00;0;;
SRE;01.05.1924 00:00;0;;
SRE;02.05.1924 00:00;6.3;;
SRE;03.05.1924 00:00;4.8;;
SRE;04.05.1924 00:00;5.3;;
SRE;05.05.1924 00:00;4.3;;
SRE;06.05.1924 00:00;1;;
SRE;07.05.1924 00:00;14.6;;
SRE;08.05.1924 00:00;2;;
SRE;09.05.1924 00:00;0;;
SRE;10.05.1924 00:00;0;;
SRE;11.05.1924 00:00;0;;
SRE;12.05.1924 00:00;0;;
SRE;13.05.1924 00:00;0;;
SRE;14.05.1924 00:00;0;;
SRE;15.05.1924 00:00;0;;
SRE;16.05.1924 00:00;0;;
SRE;17.05.1924 00:00;0;;
SRE;18.05.1924 00:00;1;;
SRE;19.05.1924 00:00;0;;
SRE;20.05.1924 00:00;0;;
SRE;21.05.1924 00:00;2;;
SRE;22.05.1924 00:00;0;;
SRE;23.05.1924 00:00;4.2;;
SRE;24.05.1924 00:00;0;;
SRE;25.05.1924 00:00;3.2;;
SRE;26.05.1924 00:00;5;;
SRE;27.05.1924 00:00;0;;
SRE;28.05.1924 00:00;15;;
SRE;29.05.1924 00:00;1;;
SRE;30.05.1924 00:00;0;;
SRE;31.05.1924 00:00;0;;
SRE;01.01.1925 00:00;0;;
SRE;02.01.1925 00:00;0;;
SRE;03.01.1925 00:00;0;;
SRE;04.01.1925 00:00;2.8;;
SRE;05.01.1925 00:00;2.2;;
SRE;06.01.1925 00:00;0;;
SRE;07.01.1925 00:00;0;;
SRE;08.01.1925 00:00;0;;
SRE;09.01.1925 00:00;0;;
SRE;10.01.1925 00:00;0;;
SRE;11.01.1925 00:00;0;;
SRE;12.01.1925 00:00;0;;
SRE;13.01.1925 00:00;0;;
SRE;14.01.1925 00:00;0;;
SRE;15.01.1925 00:00;0;;
SRE;16.01.1925 00:00;1;;
SRE;17.01.1925 00:00;0;;
SRE;18.01.1925 00:00;0;;
SRE;19.01.1925 00:00;0;;
SRE;20.01.1925 00:00;0;;
SRE;21.01.1925 00:00;0;;
SRE;22.01.1925 00:00;0;;
SRE;23.01.1925 00:00;1;;
SRE;24.01.1925 00:00;0;;
SRE;25.01.1925 00:00;0;;
SRE;26.01.1925 00:00;1;;
SRE;27.01.1925 00:00;1;;
SRE;28.01.1925 00:00;0;;
SRE;29.01.1925 00:00;1;;
SRE;30.01.1925 00:00;0;;
SRE;31.01.1925 00:00;0;;
SRE;01.02.1925 00:00;0;;
SRE;02.02.1925 00:00;0;;
SRE;03.02.1925 00:00;0;;
SRE;04.02.1925 00:00;0;;
SRE;05.02.1925 00:00;0;;
SRE;06.02.1925 00:00;0;;
SRE;07.02.1925 00:00;0;;
SRE;08.02.1925 00:00;0;;
SRE;09.02.1925 00:00;0;;
SRE;10.02.1925 00:00;0;;
SRE;11.02.1925 00:00;0;;
SRE;12.02.1925 00:00;0;;
SRE;13.02.1925 00:00;0;;
SRE;14.02.1925 00:00;0;;
SRE;15.02.1925 00:00;22;;
SRE;16.02.1925 00:00;0;;
SRE;17.02.1925 00:00;0;;
SRE;18.02.1925 00:00;0;;
SRE;19.02.1925 00:00;0;;
SRE;20.02.1925 00:00;0;;
SRE;21.02.1925 00:00;0;;
SRE;22.02.1925 00:00;0;;
SRE;23.02.1925 00:00;0;;
SRE;24.02.1925 00:00;0;;
SRE;25.02.1925 00:00;0;;
SRE;26.02.1925 00:00;0;;
SRE;27.02.1925 00:00;0;;
SRE;28.02.1925 00:00;0;;
SRE;01.03.1925 00:00;0;;
SRE;02.03.1925 00:00;0.8;;
SRE;03.03.1925 00:00;0;;
SRE;04.03.1925 00:00;0;;
SRE;05.03.1925 00:00;0;;
SRE;06.03.1925 00:00;0;;
SRE;07.03.1925 00:00;0;;
SRE;08.03.1925 00:00;0;;
SRE;09.03.1925 00:00;0;;
SRE;10.03.1925 00:00;0;;
SRE;11.03.1925 00:00;0;;
SRE;12.03.1925 00:00;0;;
SRE;13.03.1925 00:00;0;;
SRE;14.03.1925 00:00;0.2;;
SRE;15.03.1925 00:00;0;;
SRE;16.03.1925 00:00;0;;
SRE;17.03.1925 00:00;0;;
SRE;18.03.1925 00:00;0;;
SRE;19.03.1925 00:00;0;;
SRE;20.03.1925 00:00;0;;
SRE;21.03.1925 00:00;0;;
SRE;22.03.1925 00:00;0;;
SRE;23.03.1925 00:00;0;;
SRE;24.03.1925 00:00;0;;
SRE;25.03.1925 00:00;0;;
SRE;26.03.1925 00:00;0;;
SRE;27.03.1925 00:00;0;;
SRE;28.03.1925 00:00;0;;
SRE;29.03.1925 00:00;0;;
SRE;30.03.1925 00:00;0;;
SRE;31.03.1925 00:00;0;;
SRE;01.04.1925 00:00;0;;
SRE;02.04.1925 00:00;0;;
SRE;03.04.1925 00:00;0;;
SRE;04.04.1925 00:00;0;;
SRE;05.04.1925 00:00;0;;
SRE;06.04.1925 00:00;0;;
SRE;07.04.1925 00:00;0;;
SRE;08.04.1925 00:00;2;;
SRE;09.04.1925 00:00;0;;
SRE;10.04.1925 00:00;0;;
SRE;11.04.1925 00:00;0;;
SRE;12.04.1925 00:00;0;;
SRE;13.04.1925 00:00;0;;
SRE;14.04.1925 00:00;0;;
SRE;15.04.1925 00:00;2;;
SRE;16.04.1925 00:00;4;;
SRE;17.04.1925 00:00;0;;
SRE;18.04.1925 00:00;0;;
SRE;19.04.1925 00:00;1;;
SRE;20.04.1925 00:00;4;;
SRE;21.04.1925 00:00;0;;
SRE;22.04.1925 00:00;0;;
SRE;23.04.1925 00:00;0;;
SRE;24.04.1925 00:00;5;;
SRE;25.04.1925 00:00;0;;
SRE;26.04.1925 00:00;0;;
SRE;27.04.1925 00:00;0;;
SRE;28.04.1925 00:00;14;;
SRE;29.04.1925 00:00;0;;
SRE;30.04.1925 00:00;3;;
SRE;01.05.1925 00:00;3;;
SRE;02.05.1925 00:00;0;;
SRE;03.05.1925 00:00;0;;
SRE;04.05.1925 00:00;0;;
SRE;05.05.1925 00:00;2;;
SRE;06.05.1925 00:00;3;;
SRE;07.05.1925 00:00;4;;
SRE;08.05.1925 00:00;1;;
SRE;09.05.1925 00:00;0;;
SRE;10.05.1925 00:00;2;;
SRE;11.05.1925 00:00;0;;
SRE;12.05.1925 00:00;0;;
SRE;13.05.1925 00:00;0;;
SRE;14.05.1925 00:00;0;;
SRE;15.05.1925 00:00;0;;
SRE;16.05.1925 00:00;0;;
SRE;17.05.1925 00:00;0;;
SRE;18.05.1925 00:00;0;;
SRE;19.05.1925 00:00;0;;
SRE;20.05.1925 00:00;0;;
SRE;21.05.1925 00:00;0;;
SRE;22.05.1925 00:00;0;;
SRE;23.05.1925 00:00;5;;
SRE;24.05.1925 00:00;2;;
SRE;25.05.1925 00:00;0;;
SRE;26.05.1925 00:00;2;;
SRE;27.05.1925 00:00;0;;
SRE;28.05.1925 00:00;0;;
SRE;29.05.1925 00:00;0;;
SRE;30.05.1925 00:00;0;;
SRE;31.05.1925 00:00;0;;
SRE;01.06.1925 00:00;0;;
SRE;02.06.1925 00:00;2;;
SRE;03.06.1925 00:00;0;;
SRE;04.06.1925 00:00;0;;
SRE;05.06.1925 00:00;0;;
SRE;06.06.1925 00:00;0;;
SRE;07.06.1925 00:00;0;;
SRE;08.06.1925 00:00;0;;
SRE;09.06.1925 00:00;0;;
SRE;10.06.1925 00:00;0;;
SRE;11.06.1925 00:00;0;;
SRE;12.06.1925 00:00;2;;
SRE;13.06.1925 00:00;3;;
SRE;14.06.1925 00:00;0;;
SRE;15.06.1925 00:00;0;;
SRE;16.06.1925 00:00;0;;
SRE;17.06.1925 00:00;0;;
SRE;18.06.1925 00:00;0;;
SRE;19.06.1925 00:00;0;;
SRE;20.06.1925 00:00;0;;
SRE;21.06.1925 00:00;0;;
SRE;22.06.1925 00:00;0;;
SRE;23.06.1925 00:00;0;;
SRE;24.06.1925 00:00;0;;
SRE;25.06.1925 00:00;0;;
SRE;26.06.1925 00:00;0;;
SRE;27.06.1925 00:00;2;;
SRE;28.06.1925 00:00;1;;
SRE;29.06.1925 00:00;0;;
SRE;30.06.1925 00:00;0;;
SRE;01.07.1925 00:00;0;;
SRE;02.07.1925 00:00;0.5;;
SRE;03.07.1925 00:00;3.5;;
SRE;04.07.1925 00:00;0;;
SRE;05.07.1925 00:00;1;;
SRE;06.07.1925 00:00;1;;
SRE;07.07.1925 00:00;0;;
SRE;08.07.1925 00:00;0;;
SRE;09.07.1925 00:00;8;;
SRE;10.07.1925 00:00;0;;
SRE;11.07.1925 00:00;0;;
SRE;12.07.1925 00:00;0;;
SRE;13.07.1925 00:00;0;;
SRE;14.07.1925 00:00;0;;
SRE;15.07.1925 00:00;0;;
SRE;16.07.1925 00:00;0;;
SRE;17.07.1925 00:00;0;;
SRE;18.07.1925 00:00;0;;
SRE;19.07.1925 00:00;0;;
SRE;20.07.1925 00:00;0;;
SRE;21.07.1925 00:00;0;;
SRE;22.07.1925 00:00;0;;
SRE;23.07.1925 00:00;0;;
SRE;24.07.1925 00:00;1;;
SRE;25.07.1925 00:00;0;;
SRE;26.07.1925 00:00;0;;
SRE;27.07.1925 00:00;0;;
SRE;28.07.1925 00:00;0;;
SRE;29.07.1925 00:00;0;;
SRE;30.07.1925 00:00;14;;
SRE;31.07.1925 00:00;7;;
SRE;01.08.1925 00:00;0;;
SRE;02.08.1925 00:00;9;;
SRE;03.08.1925 00:00;0;;
SRE;04.08.1925 00:00;6;;
SRE;05.08.1925 00:00;1;;
SRE;06.08.1925 00:00;0;;
SRE;07.08.1925 00:00;0;;
SRE;08.08.1925 00:00;0;;
SRE;09.08.1925 00:00;0;;
SRE;10.08.1925 00:00;0;;
SRE;11.08.1925 00:00;16;;
SRE;12.08.1925 00:00;0;;
SRE;13.08.1925 00:00;0;;
SRE;14.08.1925 00:00;0;;
SRE;15.08.1925 00:00;0;;
SRE;16.08.1925 00:00;0;;
SRE;17.08.1925 00:00;0;;
SRE;18.08.1925 00:00;0;;
SRE;19.08.1925 00:00;5;;
SRE;20.08.1925 00:00;3;;
SRE;21.08.1925 00:00;0;;
SRE;22.08.1925 00:00;8;;
SRE;23.08.1925 00:00;1;;
SRE;24.08.1925 00:00;8;;
SRE;25.08.1925 00:00;7;;
SRE;26.08.1925 00:00;1;;
SRE;27.08.1925 00:00;0;;
SRE;28.08.1925 00:00;0;;
SRE;29.08.1925 00:00;0;;
SRE;30.08.1925 00:00;0;;
SRE;31.08.1925 00:00;0;;
SRE;01.09.1925 00:00;0;;
SRE;02.09.1925 00:00;0;;
SRE;03.09.1925 00:00;0;;
SRE;04.09.1925 00:00;0;;
SRE;05.09.1925 00:00;0;;
SRE;06.09.1925 00:00;1.5;;
SRE;07.09.1925 00:00;0;;
SRE;08.09.1925 00:00;0;;
SRE;09.09.1925 00:00;0;;
SRE;10.09.1925 00:00;1;;
SRE;11.09.1925 00:00;0;;
SRE;12.09.1925 00:00;0;;
SRE;13.09.1925 00:00;0;;
SRE;14.09.1925 00:00;0;;
SRE;15.09.1925 00:00;0;;
SRE;16.09.1925 00:00;0;;
SRE;17.09.1925 00:00;29;;
SRE;18.09.1925 00:00;0;;
SRE;19.09.1925 00:00;0;;
SRE;20.09.1925 00:00;3;;
SRE;21.09.1925 00:00;1;;
SRE;22.09.1925 00:00;0;;
SRE;23.09.1925 00:00;12;;
SRE;24.09.1925 00:00;15;;
SRE;25.09.1925 00:00;0;;
SRE;26.09.1925 00:00;0;;
SRE;27.09.1925 00:00;0;;
SRE;28.09.1925 00:00;0;;
SRE;29.09.1925 00:00;0;;
SRE;30.09.1925 00:00;0;;
SRE;01.10.1925 00:00;0;;
SRE;02.10.1925 00:00;0;;
SRE;03.10.1925 00:00;0;;
SRE;04.10.1925 00:00;0;;
SRE;05.10.1925 00:00;0;;
SRE;06.10.1925 00:00;0;;
SRE;07.10.1925 00:00;0;;
SRE;08.10.1925 00:00;0;;
SRE;09.10.1925 00:00;0;;
SRE;10.10.1925 00:00;0;;
SRE;11.10.1925 00:00;0;;
SRE;12.10.1925 00:00;0;;
SRE;13.10.1925 00:00;0;;
SRE;14.10.1925 00:00;0;;
SRE;15.10.1925 00:00;0;;
SRE;16.10.1925 00:00;0;;
SRE;17.10.1925 00:00;0;;
SRE;18.10.1925 00:00;0;;
SRE;19.10.1925 00:00;0;;
SRE;20.10.1925 00:00;0;;
SRE;21.10.1925 00:00;0;;
SRE;22.10.1925 00:00;0;;
SRE;23.10.1925 00:00;5;;
SRE;24.10.1925 00:00;1;;
SRE;25.10.1925 00:00;0;;
SRE;26.10.1925 00:00;0;;
SRE;27.10.1925 00:00;0;;
SRE;28.10.1925 00:00;0;;
SRE;29.10.1925 00:00;0;;
SRE;30.10.1925 00:00;0;;
SRE;31.10.1925 00:00;0;;
SRE;01.11.1925 00:00;0;;
SRE;02.11.1925 00:00;2;;
SRE;03.11.1925 00:00;0;;
SRE;04.11.1925 00:00;0;;
SRE;05.11.1925 00:00;9;;
SRE;06.11.1925 00:00;0;;
SRE;07.11.1925 00:00;16;;
SRE;08.11.1925 00:00;0;;
SRE;09.11.1925 00:00;2;;
SRE;10.11.1925 00:00;0;;
SRE;11.11.1925 00:00;0;;
SRE;12.11.1925 00:00;0;;
SRE;13.11.1925 00:00;0;;
SRE;14.11.1925 00:00;0;;
SRE;15.11.1925 00:00;0;;
SRE;16.11.1925 00:00;0;;
SRE;17.11.1925 00:00;0;;
SRE;18.11.1925 00:00;0;;
SRE;19.11.1925 00:00;0;;
SRE;20.11.1925 00:00;0;;
SRE;21.11.1925 00:00;0;;
SRE;22.11.1925 00:00;0;;
SRE;23.11.1925 00:00;0;;
SRE;24.11.1925 00:00;0;;
SRE;25.11.1925 00:00;3;;
SRE;26.11.1925 00:00;0;;
SRE;27.11.1925 00:00;0;;
SRE;28.11.1925 00:00;0;;
SRE;29.11.1925 00:00;2;;
SRE;30.11.1925 00:00;2.4;;
SRE;01.12.1925 00:00;4;;
SRE;02.12.1925 00:00;0;;
SRE;03.12.1925 00:00;0;;
SRE;04.12.1925 00:00;0;;
SRE;05.12.1925 00:00;0;;
SRE;06.12.1925 00:00;0;;
SRE;07.12.1925 00:00;0;;
SRE;08.12.1925 00:00;0;;
SRE;09.12.1925 00:00;0;;
SRE;10.12.1925 00:00;0;;
SRE;11.12.1925 00:00;0;;
SRE;12.12.1925 00:00;0;;
SRE;13.12.1925 00:00;0;;
SRE;14.12.1925 00:00;0;;
SRE;15.12.1925 00:00;0;;
SRE;16.12.1925 00:00;0;;
SRE;17.12.1925 00:00;0;;
SRE;18.12.1925 00:00;0;;
SRE;19.12.1925 00:00;0;;
SRE;20.12.1925 00:00;16;;
SRE;21.12.1925 00:00;10;;
SRE;22.12.1925 00:00;12;;
SRE;23.12.1925 00:00;6;;
SRE;24.12.1925 00:00;2;;
SRE;25.12.1925 00:00;34;;
SRE;26.12.1925 00:00;15;;
SRE;27.12.1925 00:00;8;;
SRE;28.12.1925 00:00;5;;
SRE;29.12.1925 00:00;6;;
SRE;30.12.1925 00:00;2;;
SRE;31.12.1925 00:00;0;;
SRE;01.01.1926 00:00;0;;
SRE;02.01.1926 00:00;8;;
SRE;03.01.1926 00:00;13;;
SRE;04.01.1926 00:00;3;;
SRE;05.01.1926 00:00;3;;
SRE;06.01.1926 00:00;1;;
SRE;07.01.1926 00:00;0;;
SRE;08.01.1926 00:00;0;;
SRE;09.01.1926 00:00;0;;
SRE;10.01.1926 00:00;0;;
SRE;11.01.1926 00:00;0;;
SRE;12.01.1926 00:00;0;;
SRE;13.01.1926 00:00;0;;
SRE;14.01.1926 00:00;8;;
SRE;15.01.1926 00:00;5;;
SRE;16.01.1926 00:00;8;;
SRE;17.01.1926 00:00;8;;
SRE;18.01.1926 00:00;0;;
SRE;19.01.1926 00:00;6;;
SRE;20.01.1926 00:00;0;;
SRE;21.01.1926 00:00;0;;
SRE;22.01.1926 00:00;0;;
SRE;23.01.1926 00:00;0;;
SRE;24.01.1926 00:00;0;;
SRE;25.01.1926 00:00;0;;
SRE;26.01.1926 00:00;0;;
SRE;27.01.1926 00:00;0;;
SRE;28.01.1926 00:00;0;;
SRE;29.01.1926 00:00;0;;
SRE;30.01.1926 00:00;1;;
SRE;31.01.1926 00:00;0;;
SRE;01.02.1926 00:00;0;;
SRE;02.02.1926 00:00;0;;
SRE;03.02.1926 00:00;0;;
SRE;04.02.1926 00:00;0;;
SRE;05.02.1926 00:00;0;;
SRE;06.02.1926 00:00;0;;
SRE;07.02.1926 00:00;6;;
SRE;08.02.1926 00:00;0;;
SRE;09.02.1926 00:00;0;;
SRE;10.02.1926 00:00;0;;
SRE;11.02.1926 00:00;1;;
SRE;12.02.1926 00:00;0;;
SRE;13.02.1926 00:00;0;;
SRE;14.02.1926 00:00;0;;
SRE;15.02.1926 00:00;0;;
SRE;16.02.1926 00:00;0;;
SRE;17.02.1926 00:00;7;;
SRE;18.02.1926 00:00;7;;
SRE;19.02.1926 00:00;9;;
SRE;20.02.1926 00:00;0;;
SRE;21.02.1926 00:00;0;;
SRE;22.02.1926 00:00;0;;
SRE;23.02.1926 00:00;0;;
SRE;24.02.1926 00:00;0;;
SRE;25.02.1926 00:00;0;;
SRE;26.02.1926 00:00;0;;
SRE;27.02.1926 00:00;0;;
SRE;28.02.1926 00:00;0;;
SRE;01.03.1926 00:00;0;;
SRE;02.03.1926 00:00;0;;
SRE;03.03.1926 00:00;0;;
SRE;04.03.1926 00:00;8;;
SRE;05.03.1926 00:00;0;;
SRE;06.03.1926 00:00;24;;
SRE;07.03.1926 00:00;16;;
SRE;08.03.1926 00:00;0;;
SRE;09.03.1926 00:00;0;;
SRE;10.03.1926 00:00;0.5;;
SRE;11.03.1926 00:00;0;;
SRE;12.03.1926 00:00;0;;
SRE;13.03.1926 00:00;0;;
SRE;14.03.1926 00:00;0;;
SRE;15.03.1926 00:00;0;;
SRE;16.03.1926 00:00;0;;
SRE;17.03.1926 00:00;0;;
SRE;18.03.1926 00:00;0;;
SRE;19.03.1926 00:00;0;;
SRE;20.03.1926 00:00;0;;
SRE;21.03.1926 00:00;5;;
SRE;22.03.1926 00:00;0;;
SRE;23.03.1926 00:00;0;;
SRE;24.03.1926 00:00;0;;
SRE;25.03.1926 00:00;0;;
SRE;26.03.1926 00:00;0;;
SRE;27.03.1926 00:00;1;;
SRE;28.03.1926 00:00;8;;
SRE;29.03.1926 00:00;0;;
SRE;30.03.1926 00:00;0;;
SRE;31.03.1926 00:00;0;;
SRE;01.04.1926 00:00;0;;
SRE;02.04.1926 00:00;0;;
SRE;03.04.1926 00:00;0;;
SRE;04.04.1926 00:00;0;;
SRE;05.04.1926 00:00;4;;
SRE;06.04.1926 00:00;0;;
SRE;07.04.1926 00:00;0;;
SRE;08.04.1926 00:00;1.7;;
SRE;09.04.1926 00:00;4;;
SRE;10.04.1926 00:00;0;;
SRE;11.04.1926 00:00;0;;
SRE;12.04.1926 00:00;0;;
SRE;13.04.1926 00:00;0;;
SRE;14.04.1926 00:00;0;;
SRE;15.04.1926 00:00;0;;
SRE;16.04.1926 00:00;9;;
SRE;17.04.1926 00:00;0;;
SRE;18.04.1926 00:00;9.5;;
SRE;19.04.1926 00:00;4;;
SRE;20.04.1926 00:00;4.4;;
